Designator,Mid X,Mid Y,Rotation,Layer
C1,128.93,-61.3,180.0,top
C10,143.81,-47.01,-90.0,top
C11,146.1,-49.6,180.0,top
C12,146.11,-52.21,180.0,top
C13,132.4,-52.0,0.0,top
C14,139.7,-63.4,90.0,top
C15,148.1,-56.9,180.0,top
C16,130.4,-56.5,0.0,top
C17,145.7,-34.0,0.0,top
C18,146.425,-41.8,180.0,top
C2,129.0,-63.8,180.0,top
C3,145.675,-31.0,0.0,top
C4,129.97,-36.1,-90.0,top
C5,134.81,-47.04,-90.0,top
C6,142.0,-63.3,90.0,top
C7,141.61,-47.045,-90.0,top
C8,139.09,-47.06,-90.0,top
C9,137.0,-47.055,-90.0,top
J1,139.2,-23.9,180.0,top
J2,123.165,-22.285,0.0,top
J3,155.22,-22.27,0.0,top
R1,130.7,-31.6,-90.0,top
R2,142.3,-31.6,90.0,top
R3,136.1,-31.6,-90.0,top
R4,137.44,-63.36,90.0,top
R5,148.0,-47.0,0.0,top
R6,138.9,-43.0,-90.0,top
R7,141.9,-43.0,-90.0,top
R8,148.0,-44.3,180.0,top
SW1,130.7,-26.4,-90.0,top
SW2,147.7,-26.5,-90.0,top
U1,134.3,-39.1,-90.0,top
U2,140.4,-37.2,90.0,top
U3,139.2,-55.4,0.0,top
U4,146.625,-37.8,0.0,top
Y1,132.8,-62.66,90.0,top
